"[run number]","scenario?","mut-rate-per-locus","mut-effect-size","type-organism","how-heritability?","how-mut-rate?","fitness-function","probability-recombination","env-variance","density-dependence-effect","level-autocorr","rate-change-of-optimum","rate-change-of-env-variance","time-to-balance","GA-m-rate","mutational-variance","method-for-MR","GA-variance","number-of-loci","heritability","beneficial-mutations","carrying-capacity","how-genetics?","evolving-mut-rate?","how-genetic-variance","how-mut-effect-size?","genetic-variance","population-size","time-limit","[step]","N","MR"
"45","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.1","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","963","0.002824788101113614"
"46","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.1","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","919","6.565816773419228E-4"
"47","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.1","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","881","0.0018295777004919652"
"48","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.1","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","847","0.0025078707869317486"
"49","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.1","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","544","7.045689490891448E-4"
"50","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.1","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","981","0.00487962959681913"
"52","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","1024","0.011483133814903962"
"51","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","865","0.014957186294689652"
"53","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","1026","0.0013526457568274264"
"54","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","878","0.0019532375839317884"
"55","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","941","0.010294273071269072"
"56","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","896","0.004533996488924228"
"57","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","808","5.194927984035252E-4"
"58","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","937","0.001335434590430982"
"59","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","1022","0.003150520525923067"
"60","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","981","0.0014501115001388138"
"61","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","867","0.0032989265291584816"
"62","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","813","0.003925263087305196"
"63","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","994","0.0016835644453091227"
"64","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","954","0.016844511541343685"
"65","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","816","0.0017581134233147137"
"66","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","903","6.55257017586241E-4"
"68","""climate-change""","0","0.2","""moderate""","""fixed-value""","""random""","""negative-exponential""","0.5","1","""normal""","0","0","0","100","0","0.01","""exponent""","0","1","1","0.25","1000","""explicit""","""only-mut-rate""","""parental-level""","""input-value""","0.2","1000","200","300","917","0.001271872852115687"
